seconds,time,air,beans,air_sp,power,power_sp,speed,coolfan_speed,stirrer_speed,pressure,pressure_fan_speed,pressure_sp,ror,ror_f,computed_air_ror,__filled,beans_clean,air_clean,beans_smooth,air_smooth
99.0,01:39,130.5,83.6,220,90,90,50,61,15616,100,20,100,10.9,196,11.7,0,83.6,130.5,83.6486877828059,130.49538461538532
100.0,01:40,131.0,84.0,220,90,90,50,61,15616,99,20,100,10.9,197,12.3,0,84.0,131.0,84.02959276018146,130.91647058823605
101.0,01:41,131.4,84.4,220,90,90,50,61,15616,99,20,100,11.0,198,12.9,0,84.4,131.4,84.42090497737604,131.34144796380164
102.0,01:42,131.8,84.9,220,90,90,50,61,15616,101,20,100,11.0,199,13.1,0,84.9,131.8,84.81855203619958,131.74443438914102
103.0,01:43,132.1,85.2,220,90,90,50,61,15616,100,20,100,11.2,202,13.1,0,85.2,132.1,85.21846153846201,132.1404524886885
104.0,01:44,132.5,85.6,220,90,90,50,61,15616,100,20,100,11.2,202,12.6,0,85.6,132.5,85.60950226244391,132.52452488687857
105.0,01:45,132.9,86.0,220,90,90,50,61,15616,100,20,100,11.3,204,12.0,0,86.0,132.9,86.00054298642581,132.89257918552113
106.0,01:46,133.2,86.4,220,90,90,50,61,15616,99,20,100,11.3,204,11.3,0,86.4,133.2,86.39339366515885,133.24850678733105
107.0,01:47,133.6,86.8,220,90,90,50,61,15616,100,20,100,11.4,206,11.1,0,86.8,133.6,86.7830769230774,133.5909502262451
108.0,01:48,133.9,87.2,220,90,90,50,61,15616,100,20,100,11.5,206,10.9,0,87.2,133.9,87.16461538461589,133.9342081447971
109.0,01:49,134.3,87.5,220,90,90,50,61,15616,100,20,100,11.6,208,10.8,0,87.5,134.3,87.53981900452538,134.2605429864261
110.0,01:50,134.6,87.9,220,90,90,50,61,15616,101,20,100,11.5,207,10.6,0,87.9,134.6,87.92434389140321,134.58108597285144
111.0,01:51,134.9,88.3,220,90,90,50,61,15616,101,20,100,11.6,209,10.4,0,88.3,134.9,88.30705882352991,134.88108597285142
112.0,01:52,135.2,88.7,220,90,90,50,61,15616,99,20,100,11.6,209,10.0,0,88.7,135.2,88.68389140271543,135.1605429864261
113.0,01:53,135.4,89.1,220,90,90,50,61,15616,99,20,100,11.6,208,9.5,0,89.1,135.4,89.05755656108647,135.42009049773833
114.0,01:54,135.7,89.4,220,90,90,50,61,15616,100,20,100,11.5,208,9.0,0,89.4,135.7,89.43076923076973,135.66742081448038
115.0,01:55,135.9,89.8,220,90,90,50,61,15616,99,20,100,11.6,208,8.4,0,89.8,135.9,89.8062443438919,135.91728506787405
116.0,01:56,136.2,90.2,220,90,90,50,61,15616,100,20,100,11.5,207,8.0,0,90.2,136.2,90.18669683257968,136.16443438914104
117.0,01:57,136.4,90.6,220,90,90,50,61,15616,100,20,100,11.5,207,7.8,0,90.6,136.4,90.55393665158421,136.41746606334917
118.0,01:58,136.6,90.9,220,90,90,50,61,15616,100,20,100,11.5,208,7.5,0,90.9,136.6,90.93683257918603,136.68497737556635
